,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
245,2022-02-15 16:33:56+00:00,S2,509.06440144539664,436.6752326379894,471.05013922427236,532.6611959909675,521.7559981548013,585.9367616992444,575.8939030267184,546.9708834605439,535.7673761214058,525.050813860455
246,2022-02-22 16:16:15+00:00,L9,488.56855451292876,415.0468211494284,445.5214858860173,518.0237325999205,512.5816089169292,574.7831555634073,563.7072875062978,531.9609099595439,520.3235850450567,511.74970857038625
247,2022-02-25 16:33:55+00:00,S2,483.67131229046277,413.2937215461511,445.6304611928146,510.90107653936235,507.04032454550315,566.1223957838387,555.2008464910726,526.2719332289448,513.242368733718,507.8282853365845
248,2022-03-02 16:16:09+00:00,L8,496.58647439657346,429.71806670697504,456.39704089904353,527.6812233211249,526.129563329258,572.4021840442124,570.3868822101912,541.842283503627,533.9129233097292,521.9305333953369
249,2022-03-02 16:33:52+00:00,S2,,450.57040174893615,,,,583.094497274561,580.7089272411574,551.0216090920762,542.5680186521404,532.4244697892137
250,2022-03-10 16:16:10+00:00,L9,483.94005578216934,417.13490836960216,447.01713165184924,513.216751080888,502.438702115922,571.3835778835739,555.7721173866802,528.5630137223826,508.0698700883695,507.4070957921119
251,2022-03-17 16:33:59+00:00,S2,,,,516.8943087547057,514.2714062969409,574.0161151628763,565.396374029967,537.8508901068549,523.7918919217623,509.319475850647
252,2022-03-18 16:16:02+00:00,L8,500.89912751341296,429.1890090892508,458.48928685313626,527.5756832251291,524.2013241699701,575.8860482802197,572.3545995164088,541.677458785335,529.928309827102,515.4024310664147
253,2022-03-22 16:33:53+00:00,S2,516.141814140883,432.9115365404775,458.1672238287663,539.8260624032066,535.2860752207772,580.3982986107419,576.7712407169497,557.4860241591682,551.3305102115205,532.8724102673045
254,2022-04-01 16:33:52+00:00,S2,,432.72169455296773,465.4398814705194,,,,,,527.6593084404329,528.2730334591414
255,2022-04-06 16:33:56+00:00,S2,495.2703367992203,423.2360113149253,456.69778888384764,511.57300332999415,521.9674676792765,579.3300348915654,568.356275557335,542.5953832200419,515.3244224628055,516.8163604442076
